"PostHistoryId","PostId","PostTypeId"
159482543,10506452,2
27296113,11697314,1
112810249,13900138,2
41709943,16941443,2
43061049,17428122,2
48430917,19125330,2
57019139,21493942,1
58734304,21966083,2
70208210,24976983,2
70820585,25139535,1
84665512,28661753,1
87035152,29358512,1
89555708,30005065,1
98360226,32252184,1
111068325,35384603,1
111591750,35588998,1
115565260,36588651,1
116543373,36836366,1
121708164,38142801,1
131536876,40590205,2
139307933,42271207,1
139316244,42466591,2
150826969,44911756,1
154757234,45880934,1
160401950,47242214,2
