PostId;Fixed;Type;Comment;AdditionalComment
14606421;1;code;GT updated;
18745252;1;code;GT updated;
32919899;1;code;GT updated;
27803362;1;code;GT updated;2x
32960600;0;code;GT updated;moved to folder ‚unclear matching‘
32801275;0;code;matched predecessors are already equal to GT;
36843239;1;code;GT repaired;
25382089;1;code;GT updated;3x
41480290;1;code;GT updated;
29535537;1;code;GT updated;
38415236;1;code;GT updated;
21260674;1;code;GT updated;
26578247;1;code;GT repaired;
19724809;1;code;GT updated;
13872937;1;code;GT updated;
14111353;1;code;GT updated;
39596594;1;code;GT updated;
15119106;1;code;GT updated;
