"PostId","EditCount","CommentCount"
50332,1,1
376732,6,18
3529744,4,9
7953840,4,6
8586543,3,6
8687577,1,4
9225307,1,4
9520461,1,1
9604973,1,1
11252831,2,8
11719084,1,8
11767607,2,7
13864443,7,10
16245209,1,9
17591278,1,2
18996869,1,3
19063366,1,5
20849332,2,5
24057715,1,2
24987992,2,3
26215789,4,7
27812239,2,2
27970737,7,19
28689154,1,3
28963727,1,1
29248101,3,18
29744638,1,7
30239694,4,4
30389438,8,15
30703197,3,10
30815560,2,6
32244415,1,8
32794732,2,22
33450324,4,6
33776809,2,2
34059371,1,7
34631170,1,3
36098769,1,2
36118191,1,2
37008733,1,5
38181840,1,1
39196951,1,3
39907986,1,1
40971189,1,5
43798210,11,18
45114530,1,2
48114152,2,8
48706579,1,1
49676981,1,6
51748818,2,13
